id,source_file,suite_path,hardhat_test,scenario,expected_behavior,fixture_dependencies,foundry_destination,translation_shape,status,evidence
HH-108A33C911EC,test/deploy/00_system.spec.ts,V2.1 System Deployment > EscrowRegistry,should have the correct owner,V2.1 System Deployment EscrowRegistry should have the correct owner,success,beforeAll:V2.1 System Deployment; ../../utils/contracts[Escrow|NullifierRegistry]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-C7FF75286361,test/deploy/00_system.spec.ts,V2.1 System Deployment > Escrow,should have the correct owner,V2.1 System Deployment Escrow should have the correct owner,success,beforeAll:V2.1 System Deployment; ../../utils/contracts[Escrow|NullifierRegistry]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-487A4A8E0BA9,test/deploy/00_system.spec.ts,V2.1 System Deployment > Escrow,should have the payment verifier registry set,V2.1 System Deployment Escrow should have the payment verifier registry set,success,beforeAll:V2.1 System Deployment; ../../utils/contracts[Escrow|NullifierRegistry]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-7EF658C396A0,test/deploy/00_system.spec.ts,V2.1 System Deployment > Escrow,should have the correct orchestrator set,V2.1 System Deployment Escrow should have the correct orchestrator set,success,beforeAll:V2.1 System Deployment; ../../utils/contracts[Escrow|NullifierRegistry]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-5753AD059CDA,test/deploy/00_system.spec.ts,V2.1 System Deployment > Escrow,should have the correct chain id set,V2.1 System Deployment Escrow should have the correct chain id set,success,beforeAll:V2.1 System Deployment; ../../utils/contracts[Escrow|NullifierRegistry]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-C5670E0920BD,test/deploy/00_system.spec.ts,V2.1 System Deployment > Escrow,should have the escrow whitelisted,V2.1 System Deployment Escrow should have the escrow whitelisted,success,beforeAll:V2.1 System Deployment; ../../utils/contracts[Escrow|NullifierRegistry]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-3BD9278B3CAA,test/deploy/00_system.spec.ts,V2.1 System Deployment > Escrow,should have the correct dust recipient set,V2.1 System Deployment Escrow should have the correct dust recipient set,success,beforeAll:V2.1 System Deployment; ../../utils/contracts[Escrow|NullifierRegistry]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-A379CD7E3942,test/deploy/00_system.spec.ts,V2.1 System Deployment > Escrow,should have the correct dust threshold set,V2.1 System Deployment Escrow should have the correct dust threshold set,success,beforeAll:V2.1 System Deployment; ../../utils/contracts[Escrow|NullifierRegistry]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-397F008DD05B,test/deploy/00_system.spec.ts,V2.1 System Deployment > Escrow,should have the correct max intents per deposit set,V2.1 System Deployment Escrow should have the correct max intents per deposit set,success,beforeAll:V2.1 System Deployment; ../../utils/contracts[Escrow|NullifierRegistry]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-A04AE4A16D17,test/deploy/00_system.spec.ts,V2.1 System Deployment > Escrow,should have the correct intent expiration period set,V2.1 System Deployment Escrow should have the correct intent expiration period set,success,beforeAll:V2.1 System Deployment; ../../utils/contracts[Escrow|NullifierRegistry]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
